LIB,R1,R2,Treat
RHG4001,RHG4001/RHG4001_R1.fq.gz,RHG4001/RHG4001_R2.fq.gz,hg38
RHG4002,RHG4002/RHG4002_R1.fq.gz,RHG4002/RHG4002_R2.fq.gz,hg38
